track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,album_type,total_tracks,artists_count,release_year,release_month,years_since_release,decade,genres,primary_genre,artist_popularity,artist_followers,duration_minutes,is_single,popularity_category,is_collaboration,bpm,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
No Se Va,Morat,Balas Perdidas,2018-10-25,74,216752,0,album,12,1,2018,10,7,2010s,"colombian pop,latin pop",colombian pop,82,12873223,3.61,0,medium,0,92,0.117,0.734,7,0.0,0.109,-5.37,0.0453,0.754
No Te Hagas,"Jory Boy, Bad Bunny",No Te Hagas,2017-03-11,73,233250,0,single,1,2,2017,3,8,2010s,"reggaeton,trap latino",reggaeton,69,1908870,3.89,1,medium,1,132,0.0353,0.748,7,0.0,0.315,-3.812,0.0477,0.433
Normal,Feid,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022-09-14,75,171880,1,album,15,1,2022,9,3,2020s,"reggaeton,urbano latino",reggaeton,89,16314649,2.86,0,high,0,90,0.016,0.367,6,0.0,0.0831,-5.986,0.0493,0.746
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,92,274192,1,single,1,1,2024,5,1,2020s,"hip hop,west coast hip hop",hip hop,97,38686072,4.57,1,high,0,101,0.0107,0.898,5,0.0,0.141,-7.001,0.0776,0.214
Nueva Era,"Duki, Myke Towers",AMERI,2024-10-31,75,217547,1,album,15,2,2024,10,1,2020s,"argentine trap,trap,trap latino",argentine trap,82,12167968,3.63,0,high,1,180,0.126,0.763,6,2.1e-05,0.238,-4.636,0.12,0.531
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,90,183685,0,album,17,1,2025,1,0,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,3.06,0,high,0,98,0.25,0.636,7,7e-06,0.116,-4.708,0.0323,0.544
offline,"Young Miko, Feid",att.,2024-04-05,72,201935,1,album,16,2,2024,4,1,2020s,trap latino,trap latino,77,3686597,3.37,0,medium,1,102,0.109,0.808,8,0.0,0.53,-5.077,0.0358,0.632
Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves",Oh Garota Eu Quero Você Só Pra Mim,2024-12-17,81,166861,1,single,1,7,2024,12,1,2020s,"brazilian trap,trap funk,trap",brazilian trap,76,4005769,2.78,1,high,1,85,0.0333,0.623,8,0.0,0.308,-4.797,0.303,0.735
Ohnana,Kapo,Ohnana,2024-06-06,78,156577,0,single,1,1,2024,6,1,2020s,latin afrobeat,latin afrobeat,79,522160,2.61,1,high,0,92,0.0102,0.836,5,8e-06,0.132,-5.719,0.061,0.55
Ojitos Chiquitos,Don Omar,King Of Kings,2006-01-01,72,229026,0,album,18,1,2006,1,19,2000s,"reggaeton,urbano latino",reggaeton,83,14011255,3.82,0,medium,0,170,0.0206,0.801,8,7.7e-05,0.0946,-3.267,0.24,0.792
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",Un Verano Sin Ti,2022-05-06,78,258298,0,album,23,2,2022,5,3,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,4.3,0,high,1,176,0.597,0.608,6,2e-06,0.25,-4.773,0.301,0.246
OJITOS ROJOS,"Grupo Frontera, Ke Personajes",El Comienzo,2023-08-25,71,221601,0,album,12,2,2023,8,2,2020s,"cumbia norteña,banda,norteño,música mexicana,corrido,corridos tumbados,grupera,corridos bélicos,tejano",cumbia norteña,86,6065104,3.69,0,medium,1,90,0.251,0.721,8,0.0,0.107,-3.51,0.045,0.77
OLIMPO,Milo j,166 (DELUXE) retirada,2025-02-12,70,169366,0,album,20,1,2025,2,0,2020s,argentine trap,argentine trap,82,6432168,2.82,0,medium,0,82,0.594,0.572,7,3.4e-05,0.336,-4.326,0.0507,0.644
Otra poesía,"L-Gante, DT.Bilardo",Otra poesía,2024-01-18,57,232588,1,single,1,2,2024,1,1,2020s,"rkt,turreo",rkt,65,2335279,3.88,1,medium,1,84,0.177,0.559,7,0.0,0.281,-6.615,0.213,0.383
Pa Ti Estoy,"Ozuna, Anuel AA, Chris Jedi",Cosmo,2023-11-17,68,206103,0,album,15,3,2023,11,2,2020s,"reggaeton,latin,trap latino,urbano latino",reggaeton,86,38185972,3.44,0,medium,1,92,0.69,0.811,4,0.0,0.088,-7.757,0.0615,0.594
Parte & Choke,"Jombriel, Alex Krack, Jøtta",Parte & Choke,2024-11-05,80,205264,0,single,1,3,2024,11,1,2020s,"rkt,dancehall",rkt,72,204261,3.42,1,high,1,117,0.00581,0.728,7,0.0,0.131,-3.976,0.365,0.884
Partido en Dos,Banda Tava'i Oficial,Partido en Dos,2024-02-13,45,204456,0,single,1,1,2024,2,1,2020s,polka,polka,43,17565,3.41,1,low,0,83,0.139,0.625,9,1e-06,0.111,-4.407,0.0716,0.952
PELIGROSA,FloyyMenor,EL COMIENZO,2024-08-09,77,134930,1,album,7,1,2024,8,1,2020s,"reggaeton chileno,chilean trap",reggaeton chileno,80,1525080,2.25,0,high,0,100,0.319,0.776,4,1.3e-05,0.0723,-8.99,0.0575,0.838
Pera Madura (Remastered 2023),Lalo Y Los Descalzos,Reflexiones (Remastered 2023),2023-01-25,50,211591,0,album,10,1,2023,1,2,2020s,"grupera,vallenato,cumbia",grupera,60,140283,3.53,0,medium,0,180,0.085,0.554,6,0.000262,0.333,-6.642,0.0769,0.954
"Perdonarte, ¿Para Qué?","Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?",2024-05-23,74,193933,0,single,1,2,2024,5,1,2020s,"cumbia,cumbia sonidera,salsa",cumbia,77,8156338,3.23,1,medium,1,90,0.168,0.672,7,0.0,0.0445,-4.662,0.0314,0.615
Perdóname,"La Factoria, Eddy Lover",Nuevas Metas,2006-12-04,74,242390,0,album,12,2,2006,12,19,2000s,reggaeton,reggaeton,64,657257,4.04,0,medium,1,95,0.251,0.67,8,0.0,0.199,-5.868,0.0334,0.384
PERFuMITO NUEVO,"Bad Bunny, RaiNao",DeBÍ TiRAR MáS FOToS,2025-01-05,85,200680,1,album,17,2,2025,1,0,2020s,"reggaeton,trap latino,latin,urbano latino",reggaeton,100,91677145,3.34,0,high,1,98,0.25,0.636,7,7e-06,0.116,-4.708,0.0323,0.544
